title,abs_rlv,year,authors,abstract,doi,keywords,orig_index,Is_Core,Similarity_Cosine,Similarity_Hellinger,Similarity_Dice,Similarity_Manhattan,Similarity_Chebyshev,Similarity_Ensemble
A computational cognitive model of the Iowa Gambling Task for finely characterizing decision making in methamphetamine users,,2022,"Serrano, JI; Iglesias, A; Woods, SP; Del Castillo, MD","conventional scores from the iowa gambling task (igt) have been used to assess decision making in a variety of disorders, including substance use. this study extends that work by examining a novel computational cognitive model of the igt that was hypothesized to capture fine-grained differences in decision-making styles in persons with recent methamphetamine use disorders. a total of 64 participants were evaluated in this study, which included individuals with lifetime methamphetamine dependence diagnoses, individuals with diagnoses of both methamphetamine and other substance dependence, and control participants with no histories of substance use disorders. participants were individually modeled performing the igt by adjusting the parameters of the computational model maiden-igt with an evolutionary strategy. the resultant models explained more than 80% of the participants' behavior. the common igt net score alone was not able to detect any inter-group differences. however, the modeling process yielded differentiated inter-group patterns of behavior extracted from the computational models. relative to control participants, methamphetamine users exhibited a lower estimation of the possible losses as well as the risk associated to the losses. in addition, multi-substance users showed a behavior pattern that affects the evaluation of losses and the risk associated with gains. maiden-igt computational models were more sensitive than traditional metrics to the risky decision making of persons with methamphetamine use disorders. these novel models raise plausible hypotheses about the nature of motivated behaviors in the context of substance use disorders.",10.1016/j.eswa.2022.117795,Computational cognitive modeling; Decision making; DEFICITS; Drug abuse; INDIVIDUALS; Iowa Gambling Task; LEARNING-MODELS; Methamphetamine; PERFORMANCE; SOMATIC MARKER HYPOTHESIS,0,1,0.632287905,-2.295900032,0.196660482,-9.591569569,-0.285267328,-0.008727866
"Impaired Decision-Making, Higher Impulsivity, and Drug Severity in Substance Dependence and Pathological Gambling",,2015,"Krmpotich, T; Mikulich-Gilbertson, S; Sakai, J; Thompson, L; Banich, MT; Tanabe, J","substance use disorder is characterized by impaired decision making, impulsivity, and risk taking. pathological gambling shares many of these characteristics, and having both diagnoses may be associated with greater problems than either diagnosis alone. we investigated whether among substance-dependent individuals, comorbid pathological gambling would be associated with worse decision making, greater impulsivity, risk taking, and drug severity. ninety-six substance-dependent individuals were recruited from a residential treatment program and divided into 1 of the 2 groups depending on whether they met diagnostic and statistical manual of mental disorders, fourth edition, criteria for pathological gambling (sdpg, n = 26) or not (sd, n = 70). ninety-two controls were recruited from the community. participants completed a decision-making task (modified iowa gambling task), measures of impulsivity (barratt impulsivity scale and delay discounting), and risk taking (balloon analog risk task). decision making was analyzed using a computational model. we tested for group differences using analysis of covariance or kruskal-wallis and appropriate post-hoc tests. the groups differed in decision-making parameters (p < 0.001) and self-reported impulsivity (p < 0.001). all post-hoc comparisons were significant on these measures, and indicated stepwise changes in controls, followed by sd, followed by sdpg, with sdpg performing worse on decision making and being more impulsive. compared with sd, sdpg had greater drug severity (p < 0.001). no group differences were observed in delay discounting or risk taking. compared with individuals with substance dependence without pathological gambling, those with both disorders demonstrated worse decision making and significantly more drug-related symptoms. when evaluating patients with substance dependence, clinicians should consider diagnostic assessments for gambling, as the co-occurrence of both disorders may impact clinical characteristics.",10.1097/ADM.0000000000000129,ALCOHOL-USE; CANNABIS; computational modeling; decision making; DELAYED REWARDS; GAMBLERS; impulsivity; NATIONAL EPIDEMIOLOGIC SURVEY; pathological gambling; PREFRONTAL CORTEX; RESPONSE THEORY ANALYSIS; RISK-TAKING; substance dependence; TASK; USE DISORDERS,20,1,0.616909328,-2.289413934,0.21978022,-9.964729454,-0.203552995,0.017854784
Psychological Processes Underlying Risky Decisions in Drug Abusers.,,2005,"Stout, Julie C; Rock, Stephanie L; Campbell, Meghan C; Busemeyer, Jerome R; Finn, Peter R","decision-making deficits are considered to be a significant contributing factor for drug abuse. drug abusers performed poorly on a simulated gambling task (a. bechara, h. damasio, d. tranel, & s. anderson, 1994); however, the psychological processes that contribute to these deficits are unknown. the authors used cognitive decision models with a simulated gambling task (sgt) to examine underlying processes of decision making in 66 drug abusers and 58 control participants. as expected, male drug abusers performed more poorly than male controls, and model results showed that male drug abusers placed greater emphasis on wins. the findings for women were less clear because control women performed at chance level on the sgt. additional studies of gender differences on the sgt are needed to clarify these findings of discrepant performance in the control women.",10.1037/0893-164X.19.2.148,Cognitive Processes; Human Sex Differences; Simulation; *Gambling; *Decision Making; *Risk Taking; *Drug Abuse; *Psychodynamics,924,1,0.610862036,-2.326512973,0.26118068,-9.681121418,-0.272826186,0.033381031
Decision-making in stimulant and opiate addicts in protracted abstinence: Evidence from computational modeling with pure users.,,2014,"Ahn, Woo-Young; Vasilev, Georgi; Lee, Sung-Ha; Busemeyer, Jerome R; Kruschke, John K; Bechara, Antoine; Vassileva, Jasmin","substance dependent individuals (sdi) often exhibit decision-making deficits; however, it remains unclear whether the nature of the underlying decision-making processes is the same in users of different classes of drugs and whether these deficits persist after discontinuation of drug use. we used computational modeling to address these questions in a unique sample of relatively ""pure"" amphetamine-dependent (n = 38) and heroin-dependent individuals (n = 43) who were currently in protracted abstinence, and in 48 healthy controls (hc). a bayesian model comparison technique, a simulation method, and parameter recovery tests were used to compare three cognitive models: (1) prospect valence learning with decay reinforcement learning rule (pvl-decayri), (2) pvl with delta learning rule (pvl-delta), and (3) value-plus-perseverance (vpp) model based on win-stay-lose-switch (wsls) strategy. the model comparison results indicated that the vpp model, a hybrid model of reinforcement learning (rl) and a heuristic strategy of perseverance had the best post-hoc model fit, but the two pvl models showed better simulation and parameter recovery performance. computational modeling results suggested that overall all three groups relied more on rl than on a wsls strategy. heroin users displayed reduced loss aversion relative to hc across all three models, which suggests that their decision-making deficits are longstanding (or pre-existing) and may be driven by reduced sensitivity to loss. in contrast, amphetamine users showed comparable cognitive functions to hc with the vpp model, whereas the second best-fitting model with relatively good simulation performance (pvl-decayri) revealed increased reward sensitivity relative to hc. these results suggest that some decision-making deficits persist in protracted abstinence and may be mediated by different mechanisms in opiate and stimulant users.",10.3389/fpsyg.2014.00849,Models; Computational Modeling; *Decision Making; *Opiates; *Drug Addiction; *Drug Abuse,628,1,0.591372784,-2.294379776,0.194986072,-10.25218873,-0.210217556,-0.015223527
"Component Processes of Decision Making in a Community Sample of Precariously Housed Persons: Associations With Learning and Memory, and Health-Risk Behaviors",,2021,"Baitz, HA; Jones, PW; Campbell, DA; Jones, AA; Gicas, KM; Giesbrecht, CJ; Thornton, WL; Barone, CC; Wang, NY; Panenka, WJ; Lang, DJ; Vila-Rodriguez, F; Leonova, O; Barr, AM; Procyshyn, RM; Buchanan, T; Rauscher, A; MacEwan, GW; Honer, WG; Thornton, AE","the iowa gambling task (igt) is a widely used measure of decision making, but its value in signifying behaviors associated with adverse, ""real-world"" consequences has not been consistently demonstrated in persons who are precariously housed or homeless. studies evaluating the ecological validity of the igt have primarily relied on traditional igt scores. however, computational modeling derives underlying component processes of the igt, which capture specific facets of decision making that may be more closely related to engagement in behaviors associated with negative consequences. this study employed the prospect valence learning (pvl) model to decompose igt performance into component processes in 294 precariously housed community residents with substance use disorders. results revealed a predominant focus on gains and a lack of sensitivity to losses in these vulnerable community residents. hypothesized associations were not detected between component processes and self-reported health-risk behaviors. these findings provide insight into the processes underlying decision making in a vulnerable substance-using population and highlight the challenge of linking specific decision making processes to ""real-world"" behaviors.",10.3389/fpsyg.2021.571423,ALCOHOL-USE; CANNABIS USE; decision making; DRUG; EXECUTIVE FUNCTIONS; health risk; homelessness and housing; Iowa Gambling Task; IOWA GAMBLING TASK; marginalization; MODELS; MONTE-CARLO; PERFORMANCE; precariously housed; prospect valence learning model; SENSATION SEEKING SCALE; substance use; SUBSTANCE USE,26,1,0.548215781,-2.292885032,0.198331789,-9.549514224,-0.39300419,-0.057878703
Anticipatory stress restores decision-making deficits in heavy drinkers by increasing sensitivity to losses.,,2011,"Gullo, Matthew J; Stieger, Adam A","substance abusers are characterized by hypersensitivity to reward. this leads to maladaptive decisions generally, as well as those on laboratory-based decision-making tasks, such as the iowa gambling task (igt). negative affect has also been shown to disrupt the decision-making of healthy individuals, particularly decisions made under uncertainty. neuropsychological theories of learning, including the somatic marker hypothesis (smh), argue this occurs by amplifying affective responses to punishment. in substance abusers, this might serve to rebalance their sensitivity to reward with punishment, and improve decision-making. before completing the igt, 45 heavy and 47 light drinkers were randomly assigned to a control condition, or led to believe they had to give a stressful public speech. igt performance was analyzed with the expectancy-valence (ev) learning model. working memory and iq were also assessed. heavy drinkers made more disadvantageous decisions than light drinkers, due to higher attention to gains (versus losses) on the igt. anticipatory stress increased participants' attention to losses, significantly improving heavy drinkers' decision-making. anticipatory stress increased attention to losses, effectively restoring decision-making deficits in heavy drinkers by rebalancing their reward sensitivity with punishment sensitivity.",10.1016/j.drugalcdep.2011.02.002,*Decision Making; *Stress; Cognitive Impairment; *Expectations; *Binge Drinking; *Sensitization,762,1,0.521507032,-2.321754447,0.178069353,-11.0019262,-0.190401451,-0.058429823
Age of onset of cannabis use and decision making under uncertainty,,2018,"Alameda-BailÃÂÃÂÃÂÃÂn, JR; Salguero-AlcaÃÂÃÂÃÂÃÂiz, P; MerchÃÂÃÂÃÂÃÂn-Clavellino, A; PaÃÂÃÂÃÂÃÂno-Uesada, S","cannabis, like other substances, negatively affects health, inducing respiratory problems and mental and cognitive alterations. memory and learning disorders, as well as executive dysfunctions, are also neuropsychological disorders associated to cannabis use. recent evidence reveals that cannabis use during adolescence may disrupt the normal development of the brain. this study is aimed to analyze possible differences between early-onset and late-onset cannabis consumers. method: we used a task based on a card game with four decks and different programs of gains/losses. a total of 72 subjects (19 women; 53 men) participated in the study; they were selected through a purposive sampling and divided into three groups: early-onset consumers, late-onset consumers, and control (nonconsumers). the task used was the ""cartas"" program (computerized version based on the iowa gambling task (igt)), with two versions: direct and inverse. the computational model ""prospect valence learning"" (pvl) was applied in order to describe the decision according to four characteristics: utility, loss aversion, recency, and consistency. the results evidence worst performance in the igt in the early-onset consumers as compared to late-onset consumers and control. differences between groups were also found in the pvl computational model parameters, since the process of decision making of the early-onset consumers was more influenced by the magnitude of the gains-losses, and more determined by short-term results without loss aversion. early onset cannabis use may involve decision-making problems, and therefore intervention programs are necessary in order to reduce the prevalence and delay the onset of cannabis use among teenagers.",10.7717/peerj.5201,Age of onset; Cannabis; Decision making; DEFICITS; FUTURE CONSEQUENCES; INDIVIDUALS; Iowa gambling task; IOWA-GAMBLING-TASK; MARIJUANA USERS; MODELS; PERFORMANCE; Prospect valence learning; REWARD; SOMATIC MARKER HYPOTHESIS; VENTROMEDIAL PREFRONTAL CORTEX,21,1,0.510262354,-2.31745186,0.21978022,-11.11360894,-0.177978783,-0.028526558
Nicotine-dopamine-transporter interactions during reward-based decision making,,2016,"Kambeitz, J; la FougÃÂÃÂÃÂÃÂre, C; Werner, N; Pogarell, O; Riedel, M; Falkai, P; Ettinger, U","our everyday-life comprises a multitude of decisions that we take whilst trying to maximize advantageous outcomes, limit risks and update current needs. the cognitive processes that guide decision making as well as the brain circuits they are based on are only poorly understood. numerous studies point to a potential role of dopamine and nicotine in decision making but less is known about their interactions. here, 26 healthy male subjects performed the iowa gambling task (igt) in two sessions following the administration of either nicotine or placebo. striatal dopamine transporter (dat) binding was measured by single-photon emission computed tomography (spect). results indicate that lower dat levels were associated with better performance in the igt (p=0.0004). cognitive modelling analysis using the prospect valence learning (pvl) model indicated that low dat subjects' performance deteriorated following nicotine administration as indicated by an increased learning rate and a decreased response consistency. our results shed light on the neurochemistry underlying reward-based decision making in humans by demonstrating a significant interaction between nicotine and the dat. the observed interaction is consistent with the hypothesized associations between dat expression and extracellular dopamine levels, suggestive of an inverted u-shape relationship between baseline dopamine and magnitude in response to a pro-dopaminergic compound. our findings are of particular interest in the context of psychiatric disorders where aberrant decision making represents a part of the core symptomatology, such as addiction, schizophrenia or depression.",10.1016/j.euroneuro.2016.03.011,AMPHETAMINE; BIPOLAR DISORDER; Cognitive modeling; Computational psychiatry; Iowa Gambling Task; IOWA GAMBLING TASK; learning; LEARNING-MODELS; MICE; PERFORMANCE; Prospect valence; RELEASE; SCHIZOPHRENIA; SMOKING; SPECT; Striatum; VENTRAL STRIATUM,25,1,0.500721976,-2.325245865,0.208294931,-10.27278693,-0.21368795,-0.036887815
Computational Modeling Reveals Distinct Effects of HIV and History of Drug Use on Decision-Making Processes in Women,,2013,"Vassileva, J; Ahn, WY; Weber, KM; Busemeyer, JR; Stout, JC; Gonzalez, R; Cohen, MH","drug users and hiv-seropositive individuals often show deficits in decision-making; however the nature of these deficits is not well understood. recent studies have employed computational modeling approaches to disentangle the psychological processes involved in decision-making. although such approaches have been used successfully with a number of clinical groups including drug users, no study to date has used computational modeling to examine the effects of hiv on decision-making. in this study, we use this approach to investigate the effects of hiv and drug use on decision-making processes in women, who remain a relatively understudied population. method: fifty-seven women enrolled in the women's interagency hiv study (wihs) were classified into one of four groups based on their hiv status and history of crack cocaine and/or heroin drug use (du): hiv+/du+ (n = 14); hiv+/du- (n = 17); hiv-/du+ (n = 14); and hiv-/du- (n = 12). we measured decision-making with the iowa gambling task (igt) and examined behavioral performance and model parameters derived from the best-fitting computational model of the igt. although groups showed similar behavioral performance, hiv and du exhibited differential relationship to model parameters. specifically, du was associated with compromised learning/memory and reduced loss aversion, whereas hiv was associated with reduced loss aversion, but was not related to other model parameters. results reveal that hiv and du have differential associations with distinct decision-making processes in women. this study contributes to a growing line of literature which shows that different psychological processes may underlie similar behavioral performance in various clinical groups and may be associated with distinct functional outcomes.",10.1371/journal.pone.0068962,ANTIRETROVIRAL THERAPY; COCAINE ABUSERS; COGNITIVE DISORDERS; DEPENDENT INDIVIDUALS; EXECUTIVE FUNCTIONS; INTERAGENCY HIV; IOWA GAMBLING TASK; NEUROPSYCHOLOGICAL FUNCTION; SEX-DIFFERENCES; VENTROMEDIAL PREFRONTAL CORTEX,1,1,0.492467638,-2.376858628,0.2,-10.16218358,-0.348881363,-0.078678756
Cognitive mechanisms underlying risky decision-making in chronic cannabis users,,2010,"Fridberg, DJ; Queller, S; Ahn, WY; Kim, W; Bishara, AJ; Busemeyer, JR; Porrino, L; Stout, JC","chronic cannabis users are known to be impaired on a test of decision-making, the iowa gambling task (igt). computational models of the psychological processes underlying this impairment have the potential to provide a rich description of the psychological characteristics of poor performers within particular clinical groups. we used two computational models of igt performance, the expectancy valence learning model (evl) and the prospect valence learning model (pvl), to assess motivational, memory, and response processes in 17 chronic cannabis abusers and 15 control participants. model comparison and simulation methods revealed that the pvl model explained the observed data better than the evl model. results indicated that cannabis abusers tended to be under-influenced by loss magnitude, treating each loss as a constant and minor negative outcome regardless of the size of the loss. in addition, they were more influenced by gains, and made decisions that were less consistent with their expectancies relative to non-using controls.",10.1016/j.jmp.2009.10.002,ABUSERS; BEHAVIOR; Cannabis; Cognitive modeling; Decision-making; DEFICITS; FUTURE CONSEQUENCES; INSENSITIVITY; Iowa Gambling Task; LEARNING-MODELS; PREFRONTAL CORTEX; REINFORCEMENT; SENSATION-SEEKING; WORKING-MEMORY,8,1,0.482204811,-2.365601511,0.172932331,-11.06306767,-0.273650339,-0.097694549
