title,year,journal,issn,volume,issue,pages,authors,language,abstract,doi,keywords,orig_abstract,orig_index
Frontal network dynamics reflect neurocomputational mechanisms for reducing maladaptive biases in motivated action.,2018,PLoS Biology,15449173,16,10,25-Jan,"Swart, Jennifer C.; Frank, Michael J.; MÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂttÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ, Jessica I.; Jensen, Ole; Cools, Roshan; den Ouden, Hanneke E. M.",,"motivation exerts control over behavior by eliciting pavlovian responses, which can either match or conflict with instrumental action. we can overcome maladaptive motivational influences putatively through frontal cognitive control. however, the neurocomputational mechanisms subserving this control are unclear; does control entail up-regulating instrumental systems, down-regulating pavlovian systems, or both? we combined electroencephalography (eeg) recordings with a motivational go/nogo learning task (n = 34), in which multiple go options enabled us to disentangle selective action learning from nonselective pavlovian responses. midfrontal theta-band (4 hzÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ8 hz) activity covaried with the level of pavlovian conflict and was associated with reduced pavlovian biases rather than reduced instrumental learning biases. motor and lateral prefrontal regions synchronized to the midfrontal cortex, and these network dynamics predicted the reduction of pavlovian biases over and above local, midfrontal theta activity. this work links midfrontal processing to detecting pavlovian conflict and highlights the importance of network processing in reducing the impact of maladaptive, pavlovian biases.",10.1371/journal.pbio.2005979,Psychology; Behavior; Learning; Prefrontal cortex; Brain; Electroencephalography; Electrophysiology; Neuroimaging; Network analysis; Learning and memory; Social sciences; Cognitive science; Neuroscience; Motivation; Neurophysiology; Physiology; Anatomy; ELECTROENCEPHALOGRAPHY; CLASSICAL conditioning; MOTIVATION (Psychology); OPERANT conditioning; Bioassays and physiological analysis; Biology and life sciences; Brain electrophysiology; Brain mapping; Clinical medicine; Clinical neurophysiology; Computer and information sciences; Electrophysiological techniques; Imaging techniques; Mathematics; Medicine and health sciences; Physical sciences; Research and analysis methods; Research Article; Cognitive psychology; Combinatorics; CONDITIONED response; Discrete mathematics; Motor cortex; Permutation; Signaling networks,"Motivation exerts control over behavior by eliciting Pavlovian responses, which can either match or conflict with instrumental action. We can overcome maladaptive motivational influences putatively through frontal cognitive control. However, the neurocomputational mechanisms subserving this control are unclear; does control entail up-regulating instrumental systems, down-regulating Pavlovian systems, or both? We combined electroencephalography (EEG) recordings with a motivational Go/NoGo learning task (N = 34), in which multiple Go options enabled us to disentangle selective action learning from nonselective Pavlovian responses. Midfrontal theta-band (4 HzÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ8 Hz) activity covaried with the level of Pavlovian conflict and was associated with reduced Pavlovian biases rather than reduced instrumental learning biases. Motor and lateral prefrontal regions synchronized to the midfrontal cortex, and these network dynamics predicted the reduction of Pavlovian biases over and above local, midfrontal theta activity. This work links midfrontal processing to detecting Pavlovian conflict and highlights the importance of network processing in reducing the impact of maladaptive, Pavlovian biases. [ABSTRACT FROM AUTHOR]",1998
Analysis of decision-making processes in drug-abusers before and after maintenance treatment with methadone.,2010,Advances in Cognitive Science,1561-4174,12,"1, 45",26-42,"Khodadadi, Arash; Keramati, Mohammad Mahdi; Dezfouli, Amir; Safaie, Houman; Ekhtiari, Hamed",Farsi (Iranian),"the aim of this study is to assess risk taking in opioid dependents and to analyze the effect of methadone maintenance treatment (mmt) on the improvement of cognitive structure of possible disorders, using computational modeling method: in this research the decision making processes of five groups of participants (male controls, female controls, opioid dependents before treatment, dependents after three months of mmt and dependents after six months of mmt) were analyzed using persian computer based version of balloon analogue risk task. results obtained from the test scores showed that the function of male and female controls do not differ significantly, however riskful decision making in dependents before treatment, is higher than that of male controls. also, the degree of risk taking of dependents after six months of treatment, was lower in comparison with other groups of dependents. therefore, mmt could affect the amelioration of the imbalance in risk taking behavior. in this study, we used cognitive modeling in order to describe different decision making processes to explore the causes of differential functioning among groups. conclusion: analysis of estimated parameters demonstrate that imbalance in reward dependence generates risk taking behaviors in the drug abuser group. in addition, this group pays less attention to their evaluation of choices; hence, a more haphazard behavior. on the other hand, the control group chooses the alternatives that considers more valuable based on the evaluation of gains and losses.",,*Decision Making; *Methadone Maintenance; *Risk Taking; *Drug Abuse; *Drug Dependency; Opiates,"Objective: The aim of this study is to assess risk taking in opioid dependents and to analyze the effect of methadone maintenance treatment (MMT) on the improvement of cognitive structure of possible disorders, using computational modeling methods. Method: In this research the decision making processes of five groups of participants (male controls, female controls, opioid dependents before treatment, dependents after three months of MMT and dependents after six months of MMT) were analyzed using Persian computer based version of balloon analogue risk task. Results: Results obtained from the test scores showed that the function of male and female controls do not differ significantly, however riskful decision making in dependents before treatment, is higher than that of male controls. Also, the degree of risk taking of dependents after six months of treatment, was lower in comparison with other groups of dependents. Therefore, MMT could affect the amelioration of the imbalance in risk taking behavior. In this study, we used cognitive modeling in order to describe different decision making processes to explore the causes of differential functioning among groups. Conclusion: Analysis of estimated parameters demonstrate that imbalance in reward dependence generates risk taking behaviors in the drug abuser group. In addition, this group pays less attention to their evaluation of choices; hence, a more haphazard behavior. On the other hand, the control group chooses the alternatives that considers more valuable based on the evaluation of gains and losses. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",803
THE HUMAN ORBITOFRONTAL CORTEX: LINKING REWARD TO HEDONIC EXPERIENCE.,2005,Nature Reviews Neuroscience,1471003X,6,9,691-702,"Kringelbach, Morten L.",,"hedonic experience is arguably at the heart of what makes us human. in recent neuroimaging studies of the cortical networks that mediate hedonic experience in the human brain, the orbitofrontal cortex has emerged as the strongest candidate for linking food and other types of reward to hedonic experience. the orbitofrontal cortex is among the least understood regions of the human brain, but has been proposed to be involved in sensory integration, in representing the affective value of reinforcers, and in decision making and expectation. here, the functional neuroanatomy of the human orbitofrontal cortex is described and a new integrated model of its functions proposed, including a possible role in the mediation of hedonic experience.",10.1038/nrn1747,BRAIN; NEUROANATOMY; CENTRAL nervous system; CEREBRAL cortex; PLEASURE,"Hedonic experience is arguably at the heart of what makes us human. In recent neuroimaging studies of the cortical networks that mediate hedonic experience in the human brain, the orbitofrontal cortex has emerged as the strongest candidate for linking food and other types of reward to hedonic experience. The orbitofrontal cortex is among the least understood regions of the human brain, but has been proposed to be involved in sensory integration, in representing the affective value of reinforcers, and in decision making and expectation. Here, the functional neuroanatomy of the human orbitofrontal cortex is described and a new integrated model of its functions proposed, including a possible role in the mediation of hedonic experience. [ABSTRACT FROM AUTHOR]",2352
Generalization of value in reinforcement learning by humans.,2012,Eur J Neurosci,0953-816X,35,7,1092-1104,"Wimmer, Elliott; Daw, Nathaniel; Shohamy, Daphna",,"research in decision-making has focused on the role of dopamine and its striatal targets in guiding choices via learned stimulus-reward or stimulus-response associations, behavior that is well described by reinforcement learning theories. however, basic reinforcement learning is relatively limited in scope and does not explain how learning about stimulus regularities or relations may guide decision-making. a candidate mechanism for this type of learning comes from the domain of memory, which has highlighted a role for the hippocampus in learning of stimulus-stimulus relations, typically dissociated from the role of the striatum in stimulus-response learning. here, we used functional magnetic resonance imaging and computational model-based analyses to examine the joint contributions of these mechanisms to reinforcement learning. humans performed a reinforcement learning task with added relational structure, modeled after tasks used to isolate hippocampal contributions to memory. on each trial participants chose one of four options, but the reward probabilities for pairs of options were correlated across trials. this (uninstructed) relationship between pairs of options potentially enabled an observer to learn about option values based on experience with the other options and to generalize across them. we observed blood oxygen level-dependent (bold) activity related to learning in the striatum and also in the hippocampus. by comparing a basic reinforcement learning model to one augmented to allow feedback to generalize between correlated options, we tested whether choice behavior and bold activity were influenced by the opportunity to generalize across correlated options. although such generalization goes beyond standard computational accounts of reinforcement learning and striatal bold, both choices and striatal bold activity were better explained by the augmented model. consistent with the hypothesized role for the hippocampus in this generalization, functional connectivity between the ventral striatum and hippocampus was modulated, across participants, by the ability of the augmented model to capture participants' choice. our results thus point toward an interactive model in which striatal reinforcement learning systems may employ relational representations typically associated with the hippocampus.,",10.1111/j.1460-9568.2012.08017.x,computational model; reward; hippocampus; ventral striatum; memory,"Research in decision-making has focused on the role of dopamine and its striatal targets in guiding choices via learned stimulus-reward or stimulus-response associations, behavior that is well described by reinforcement learning theories. However, basic reinforcement learning is relatively limited in scope and does not explain how learning about stimulus regularities or relations may guide decision-making. A candidate mechanism for this type of learning comes from the domain of memory, which has highlighted a role for the hippocampus in learning of stimulus-stimulus relations, typically dissociated from the role of the striatum in stimulus-response learning. Here, we used functional magnetic resonance imaging and computational model-based analyses to examine the joint contributions of these mechanisms to reinforcement learning. Humans performed a reinforcement learning task with added relational structure, modeled after tasks used to isolate hippocampal contributions to memory. On each trial participants chose one of four options, but the reward probabilities for pairs of options were correlated across trials. This (uninstructed) relationship between pairs of options potentially enabled an observer to learn about option values based on experience with the other options and to generalize across them. We observed blood oxygen level-dependent (BOLD) activity related to learning in the striatum and also in the hippocampus. By comparing a basic reinforcement learning model to one augmented to allow feedback to generalize between correlated options, we tested whether choice behavior and BOLD activity were influenced by the opportunity to generalize across correlated options. Although such generalization goes beyond standard computational accounts of reinforcement learning and striatal BOLD, both choices and striatal BOLD activity were better explained by the augmented model. Consistent with the hypothesized role for the hippocampus in this generalization, functional connectivity between the ventral striatum and hippocampus was modulated, across participants, by the ability of the augmented model to capture participants' choice. Our results thus point toward an interactive model in which striatal reinforcement learning systems may employ relational representations typically associated with the hippocampus., Copyright (C) 2012 Blackwell Publishing Ltd.",1446
"Binge Drinking in Young Adults: Data, Definitions, and Determinants.",2009,Psychol Bull,0033-2909,135,1,142-156,"Courtney, Kelly; Polich, John",,": binge drinking is an increasingly important topic in alcohol research, but the field lacks empirical cohesion and definitional precision. the present review summarizes findings and viewpoints from the scientific binge-drinking literature. epidemiological studies quantify the seriousness of alcohol-related problems arising from binge drinking, with a growing incidence reported in college-age men over the last 2 years. experimental studies have found neurocognitive deficits for frontal lobe processing and working memory operations in binge-drinking compared with nonbinge alcohol drinkers. the findings are organized with the goals of providing a useful binge-drinking definition in the context of the empirical theoretical implications are discussed on how binge drinking may alter neurophysiological and neurocognitive function.,",10.1037/a0014414,binge drinking; epidemiology; definitions; neuropsychological; review,": Binge drinking is an increasingly important topic in alcohol research, but the field lacks empirical cohesion and definitional precision. The present review summarizes findings and viewpoints from the scientific binge-drinking literature. Epidemiological studies quantify the seriousness of alcohol-related problems arising from binge drinking, with a growing incidence reported in college-age men over the last 2 years. Experimental studies have found neurocognitive deficits for frontal lobe processing and working memory operations in binge-drinking compared with nonbinge alcohol drinkers. The findings are organized with the goals of providing a useful binge-drinking definition in the context of the empirical results. Theoretical implications are discussed on how binge drinking may alter neurophysiological and neurocognitive function., (C) 2009 by the American Psychological Association",1572
Personality traits in individuals with the dual diagnosis of psychosis and substance use disorders: A comprehensive review and meta-analysis.,2021,Journal of Dual Diagnosis,1550-4263,17,1,34-51,"Oh, Hyeonju; Jang, Seon-Kyeong; Lee, Hyeon-Seung; Lee, Eun-Byeol; Choi, Kee-Hong",English,"substance abuse comorbidity is highly prevalent and is linked to detrimental outcomes in individuals with psychotic disorder, but the role of personality traits as the underlying mechanism is being increasingly underscored. this study aimed to profile temperamental risks of comorbid substance use disorder in psychotic disorders by performing meta-analyses on personality trait differences between psychotic disorders with comorbidity (dual diagnosis; dd) and without it (psychotic disorders; psd). a systematic review of english articles using pubmed, medline, scopus, google scholar, and proquest dissertation and theses. only original empirical studies including participants with diagnosis of psychotic disorders based on structured diagnostic interviews, with and without substance use disorder evaluated with reliable and valid tests were included. articles were independently extracted by two authors using predefined data fields, including study quality indicators. all pooled analyses were based on random-effect models. thirteen studies (n = 885) met our inclusion criteria. all effect-size estimates were calculated based on means and standard deviations of included measures. separate effect size estimates were obtained for four traits in the upps model (negative urgency, low premeditation, low perseverance, sensation seeking), four traits in the hs model (unconscientious disinhibition, negative affect, disagreeable disinhibition, positive affect) and trait anhedonia. negative urgency (four studies with 262 participants; es = 0.59; 95% confidence interval [ci] [0.34, 0.84]), low premeditation (five studies with 349 participants; es = 0.60; 95% ci [0.39, 0.80]), sensation seeking (seven studies with 550 participants; es = 0.63; 95% ci [0.17, 1.09]) and unconscientious disinhibition (five studies with 291 participants; es = 0.36; 95% ci [0.13, 0.59]) were elevated in dd than psd. heterogeneity of sensation seeking was significant (i2 = 86.2%). the findings of the current meta-analysis highlight a unique profile of impulsive and externalizing trait personality domains pertaining to dd. the study emphasizes the importance of emotion regulation interventions targeting impulsivity or negative affect (i.e. negative urgency, low premeditation) in substance abuse comorbidity patients.",10.1080/15504263.2020.1839827,*Substance Use Disorder; *Personality Traits; Impulsiveness; Behavioral Disinhibition; *Psychosis; *Comorbidity; *Dual Diagnosis; Negative Emotions,"Objective: Substance abuse comorbidity is highly prevalent and is linked to detrimental outcomes in individuals with psychotic disorder, but the role of personality traits as the underlying mechanism is being increasingly underscored. This study aimed to profile temperamental risks of comorbid substance use disorder in psychotic disorders by performing meta-analyses on personality trait differences between psychotic disorders with comorbidity (dual diagnosis; DD) and without it (psychotic disorders; PSD). Methods: A systematic review of English articles using PubMed, MEDLINE, Scopus, Google Scholar, and ProQuest Dissertation and Theses. Only original empirical studies including participants with diagnosis of psychotic disorders based on structured diagnostic interviews, with and without substance use disorder evaluated with reliable and valid tests were included. Articles were independently extracted by two authors using predefined data fields, including study quality indicators. All pooled analyses were based on random-effect models. Thirteen studies (N = 885) met our inclusion criteria. All effect-size estimates were calculated based on means and standard deviations of included measures. Separate effect size estimates were obtained for four traits in the UPPS model (negative urgency, low premeditation, low perseverance, sensation seeking), four traits in the HS model (unconscientious disinhibition, negative affect, disagreeable disinhibition, positive affect) and trait anhedonia. Results: Negative urgency (four studies with 262 participants; ES = 0.59; 95% confidence interval [CI] [0.34, 0.84]), low premeditation (five studies with 349 participants; ES = 0.60; 95% CI [0.39, 0.80]), sensation seeking (seven studies with 550 participants; ES = 0.63; 95% CI [0.17, 1.09]) and unconscientious disinhibition (five studies with 291 participants; ES = 0.36; 95% CI [0.13, 0.59]) were elevated in DD than PSD. Heterogeneity of sensation seeking was significant (I2 = 86.2%). Conclusions: The findings of the current meta-analysis highlight a unique profile of impulsive and externalizing trait personality domains pertaining to DD. The study emphasizes the importance of emotion regulation interventions targeting impulsivity or negative affect (i.e. negative urgency, low premeditation) in substance abuse comorbidity patients. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",220
"Strategic self-regulation, decision-making and emotion processing in poly-substance abusers in their first year of abstinence.",2007,Drug and Alcohol Dependence,0376-8716,86,3-Feb,139-146,"Verdejo-Garcia, Antonio; Rivas-Perez, Cristina; Vilar-Lopez, Raquel; Perez-Garcia, Miguel",English,"individuals with substance dependence (isd) frequently show signs of impaired emotion processing, self-regulation and decision-making, even after prolonged abstinence from drug use and partial recovery of other neuropsychological functions. these impairments have been associated with alterations in the orbitofrontal cortex (ofc) in lesion and imaging studies. the aim of this study was to examine the performance of a group of isd, who had been abstinent for at least 4 months, on a series of emotional perception, self-regulation and decision-making tests sensitive to ofc dysfunction. thirty isd (poly-substance abusers in their first year of abstinence) and 35 healthy comparison (hc) participants were in the study. we administered the ekman faces test (eft), the revised strategy application test (r-sat) and the iowa gambling task (igt) to both isd and hc. results showed that the isd presented significant deficits in the recognition of facial emotional expressions and decision-making as measured by the eft and the igt. the isd also showed poorer strategy awareness, impaired self-regulation and higher impulsivity on the r-sat. we found significant correlations between the different measures linked to ofc functioning. we did not find significant correlations between length of abstinence and performance on these tests. these results suggest that the evaluation of emotion, self-regulation and decision-making contributes greatly to the characterization of the persistent deficits exhibited by isd during prolonged abstinence.",10.1016/j.drugalcdep.2006.05.024,*Decision Making; *Emotions; *Drug Abstinence; *Polydrug Abuse,"Individuals with substance dependence (ISD) frequently show signs of impaired emotion processing, self-regulation and decision-making, even after prolonged abstinence from drug use and partial recovery of other neuropsychological functions. These impairments have been associated with alterations in the orbitofrontal cortex (OFC) in lesion and imaging studies. The aim of this study was to examine the performance of a group of ISD, who had been abstinent for at least 4 months, on a series of emotional perception, self-regulation and decision-making tests sensitive to OFC dysfunction. Thirty ISD (poly-substance abusers in their first year of abstinence) and 35 healthy comparison (HC) participants were in the study. We administered the Ekman Faces Test (EFT), the Revised Strategy Application Test (R-SAT) and the Iowa Gambling Task (IGT) to both ISD and HC. Results showed that the ISD presented significant deficits in the recognition of facial emotional expressions and decision-making as measured by the EFT and the IGT. The ISD also showed poorer strategy awareness, impaired self-regulation and higher impulsivity on the R-SAT. We found significant correlations between the different measures linked to OFC functioning. We did not find significant correlations between length of abstinence and performance on these tests. These results suggest that the evaluation of emotion, self-regulation and decision-making contributes greatly to the characterization of the persistent deficits exhibited by ISD during prolonged abstinence. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",899
The Iowa Gambling Task (IGT) in Brazil: A systematic review.,2013,Trends in Psychiatry and Psychotherapy,2237-6089,35,3,160-170,"Rutz, Andre; Hamdan, Amer Cavalheiro; Lamar, Melissa",English,"decision-making is a complex, multidimensional cognitive function that requires the choice between two or more options and also the predictive analysis of its consequences. one of the tools most widely used to assess decision-making in neuropsychological research is the iowa gambling task (igt). to conduct a systematic review of articles reporting empirical igt studies based in brazil. method: articles were obtained from multiple journal databases including isi web of knowledge, scopus, scielo, lilacs, and scholar google. thirty-six studies were included in this review and divided into four categories according to main subject matter (psychiatry & personality; demographic & cultural variables; medical/clinic; and psychometric properties & test administration standardization). in general, there was a significant growth in research employing igt (chi2 = 17.6, df = 5, p = 0.0003), but this growth was restricted to a few geographic areas of brazil. the psychiatry & personality subject matter was the most abundant, accounting for 14 publications (39% of the total sample). conclusion: since its first adaptation to brazilian portuguese in 2006, a growing interest in decision-making as measured by the igt can be observed, with psychiatry & personality topics representing a large portion of the scientific inquiry to date. nevertheless, in order to extend the initial results of brazilian igt decision-making research, more studies are necessary-across a more diverse range of topics, including demographic & cultural variables, and psychometric properties & test administration standardization, the areas least studied -, as is the dissemination of the igt to more regions of the country.",10.1590/S2237-60892013000300003,*Gambling; *Decision Making; *Neuropsychological Assessment; *Psychometrics,"Background: Decision-making is a complex, multidimensional cognitive function that requires the choice between two or more options and also the predictive analysis of its consequences. One of the tools most widely used to assess decision-making in neuropsychological research is the Iowa Gambling Task (IGT). Objective: To conduct a systematic review of articles reporting empirical IGT studies based in Brazil. Method: Articles were obtained from multiple journal databases including ISI Web of Knowledge, Scopus, SciELO, LILACS, and Scholar Google. Results: Thirty-six studies were included in this review and divided into four categories according to main subject matter (psychiatry & personality; demographic & cultural variables; medical/clinic; and psychometric properties & test administration standardization). In general, there was a significant growth in research employing IGT (chi2 = 17.6, df = 5, p = 0.0003), but this growth was restricted to a few geographic areas of Brazil. The psychiatry & personality subject matter was the most abundant, accounting for 14 publications (39% of the total sample). Conclusion: Since its first adaptation to Brazilian Portuguese in 2006, a growing interest in decision-making as measured by the IGT can be observed, with psychiatry & personality topics representing a large portion of the scientific inquiry to date. Nevertheless, in order to extend the initial results of Brazilian IGT decision-making research, more studies are necessary-across a more diverse range of topics, including demographic & cultural variables, and psychometric properties & test administration standardization, the areas least studied -, as is the dissemination of the IGT to more regions of the country. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",675
Decision-making in normal and pathological aging.,2012,Prise de decision dans le vieillissement normal et pathologique.,2115-8789,10,4,437-444,"Jacus, Jean-Pierre; Bayard, Sophie; Raffard, Stephane; Bonnoron, Soizic; Gely-Nargeot, Marie-Christine",French,"decision making is a complex ability that is likely to be damaged in numerous psychiatric and neurologic disorders and also during the aging process. it therefore implies a large interconnection of cortical and subcortical structures that are directly impacted by the neuroanatomical and neurochemical modifications that occur during the usual or the pathologic aging. two decision modalities have been isolated, depending on whether the decision making is performed under explicit knowledge of the risks taken or not. in the first case, the decision is taken based on success probabilities and also as a result of preliminary reinforcements (decision under risk). this modality is linked to the executive functions and its neural substrate would be the cognitive frontal striatal loops. in the second case, the decision is exclusively based on preliminary reinforcements (decision under ambiguity) and would be partially independent of cognitive functions. its neural substrate would be the limbic frontal striatal loops. nevertheless, the comparison of these hypothesis with the clinical data raises a certain number of controversies. only the decision making under ambiguity appears to be responsive to the effects of usual aging, suggesting there would be a premature aging of the limbic loops. in parkinson's disease, controversies appear to know whether the primitive decision impairment concerns the modality under risk or the one under ambiguity, as well as the question of the frontal striatal loops primitively damaged in this pathology pending. furthermore, the cortical neurodegenerative diseases seem to demonstrate that the decision under ambiguity may be impacted by the cognitive functions, challenging the assumed independency between these two processes. on basis of some studies, the authors suggest to reconsider the links between the decision making, in particular the under ambiguity one and the cognitive functions, questioning how executive functions contribute to this decision modality.",10.1684/pnv.2012.0371,*Decision Making; *Executive Function; *Aging; Nervous System Disorders,"Decision making is a complex ability that is likely to be damaged in numerous psychiatric and neurologic disorders and also during the aging process. It therefore implies a large interconnection of cortical and subcortical structures that are directly impacted by the neuroanatomical and neurochemical modifications that occur during the usual or the pathologic aging. Two decision modalities have been isolated, depending on whether the decision making is performed under explicit knowledge of the risks taken or not. In the first case, the decision is taken based on success probabilities and also as a result of preliminary reinforcements (decision under risk). This modality is linked to the executive functions and its neural substrate would be the cognitive frontal striatal loops. In the second case, the decision is exclusively based on preliminary reinforcements (decision under ambiguity) and would be partially independent of cognitive functions. Its neural substrate would be the limbic frontal striatal loops. Nevertheless, the comparison of these hypothesis with the clinical data raises a certain number of controversies. Only the decision making under ambiguity appears to be responsive to the effects of usual aging, suggesting there would be a premature aging of the limbic loops. In Parkinson's disease, controversies appear to know whether the primitive decision impairment concerns the modality under risk or the one under ambiguity, as well as the question of the frontal striatal loops primitively damaged in this pathology pending. Furthermore, the cortical neurodegenerative diseases seem to demonstrate that the decision under ambiguity may be impacted by the cognitive functions, challenging the assumed independency between these two processes. On basis of some studies, the authors suggest to reconsider the links between the decision making, in particular the under ambiguity one and the cognitive functions, questioning how executive functions contribute to this decision modality. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",714
A mixed-effects expectancy-valence model for the Iowa gambling task.,2009,Behavior Research Methods,1554-351X,41,3,657-663,"Cheng, Chung-Ping; Sheu, Ching-Fan; Yen, Nai-Shing",English,"the iowa gambling task (igt; bechara, damasio, damasio, & anderson, 1994) was developed to simulate real-life decision making under uncertainty. the task has been widely used to examine possible neurocognitive deficits in normal and clinical populations. busemeyer and stout (2002) proposed the expectancy-valence (ev) model to explicitly account for individual participants' repeated choices in the igt. parameters of the ev model presumably measure different psychological processes that underlie performance on the task, and their values may be used to differentiate individuals across different populations. in the present article, the ev model is extended to include both fixed effects and subject-specific random effects. the mixed-effects ev model fits the nested structure of observations in the igt naturally and provides a unified procedure for parameter estimation and comparisons among groups of populations. we illustrate the utility of the mixed-effects approach with an analysis of gender differences using a real data set. a simulation study was conducted to verify the advantages of this approach.",10.3758/BRM.41.3.657,*Decision Making; *Uncertainty; *Performance; *Models,"The Iowa gambling task (IGT; Bechara, Damasio, Damasio, & Anderson, 1994) was developed to simulate real-life decision making under uncertainty. The task has been widely used to examine possible neurocognitive deficits in normal and clinical populations. Busemeyer and Stout (2002) proposed the expectancy-valence (EV) model to explicitly account for individual participants' repeated choices in the IGT. Parameters of the EV model presumably measure different psychological processes that underlie performance on the task, and their values may be used to differentiate individuals across different populations. In the present article, the EV model is extended to include both fixed effects and subject-specific random effects. The mixed-effects EV model fits the nested structure of observations in the IGT naturally and provides a unified procedure for parameter estimation and comparisons among groups of populations. We illustrate the utility of the mixed-effects approach with an analysis of gender differences using a real data set. A simulation study was conducted to verify the advantages of this approach. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",837
