orig_index,update_flag,title,authors,journal,year,abstract,doi,hollow_flag
33,G,COGNITIVE MECHANISMS AND RISKY DECISION-MAKING IN CANNABIS USERS,"Alameda, JR; Salguero, MP; Merchán, A",Universidad de Huelva,2014,"the aim of this research was to study the influence of cannabis use in the decision-making processes. a computer version of the iowa gambling task was used and the prospect valence learning (pvl) probabilistic model was applied. 73 cannabis users and 73 non-users (control group) participated in the study. the software ""cartas"", in normal and reverse procedure, was used. results show that the control group scores were higher than those of consumers, in the normal procedure. besides, statistically significant differences are observed in two of the four pvl parameters: recency and loss aversion. in the reverse procedure, we lind smaller differences between groups. only in the loss aversion pvl parameter was found statistically significant differences, although loss aversion was observed in both groups. results in the normal procedure are consistent with previous research, as some relationships between drug use and alterations in the decision-making process were found. in contrast, the results in the inverse procedure are more complicated to compare due to the lack of similar studies. the influence of drug use in the decision-making processes is confirmed. the pvl parameters involved are different depending on the specific gain-loss program used.",,FALSE
39,R,Cognitive modeling analyses of performance on the Bechara simulated gambling task by drug and alcohol abusing as compared to normal control participants,"Busemeyer, J; Stout, J; Grant, S; Finn, P; Lin, A",JOURNAL OF COGNITIVE NEUROSCIENCE,2002,,,TRUE
46,R,Design of the shotcrete tunnel lining of a metro station - safety considerations,"Walter, H",,2003,"in the course of the extension of a metro line in vienna the station taborstrabe will be built. two single track platform tunnels, a connection tunnel and an elevator tunnel will be driven through sediments following an natm excavation scheme with part-excavations of the cross sections. time dependent three-dimensional finite element analyses using nonlinear material models have been performed, in order to predict the settlements due to the excavation of the tunnels and to design the shotcrete lining. features of the viscoplastic shotcrete model are: a rapid development of strength and stiffness, cracking, and a pronounced creep at high stress levels. at the tunnel intersections stress concentrations in the lining occur which would not be permitted according to the design rules of common standards. variations of the material parameters of the shotcrete and the soil are used to show that safety margins comparable to those of the standards are present.",,FALSE
67,R,Cognitive mechanisms in risky decision-making in cannabis users,"J R, Alameda-Bailen; M P, Salguero-Alcaniz; A, Merchan-Clavellino; S, Paino-Quesada",Mecanismos cognitivos en la toma de decisiones arriesgadas en consumidores de cannabis.,2014,"the relationship between the use of cannabis and the decision-making processes was explored. a computerized version of the iowa gambling task (cards software) in its normal and reverse version was used, and the prospect valence learning (pvl) model, which characterize the process of decision-making based on the parameters: recency, consistency, loss aversion and utility shape, was applied. seventy-three cannabis consumers and a control group with 73 nonconsumers participated in the study. in the normal mode, subjects in the control group scored higher than cannabis consumers. both groups showed consistent responses and aversion to loss. nonconsumers showed greater influence of the gain-loss frequency, while consumers were more influenced by the magnitude of the gain-loss. the influence of immediate choices was higher among consumers who showed a quick oblivion while in the control group this process was more gradual. in the reverse mode, task performance was better among control group participants. both groups showed consistency, loss aversion, more influenced by the magnitude of the gain-loss, and low influence of immediate elections. the results show the relationship between drug use and the decision-making processes, being consistent with the results obtained in other studies where consumers had worse results than control group. moreover, the pvl parameters allow to adequately characterize decision-making. this confirms the relationship between drug use and decision-making by either the vulnerability prior to consumption or the neurotoxicity of drugs.",,FALSE
149,G,Integrating trait and neurocognitive mechanisms of externalizing psychopathology: A joint modeling framework for measuring impulsive behavior.,"Haines, Nathaniel",Dissertation Abstracts International: Section B: The Sciences and Engineering,2023,"trait impulsivity, defined by actions taken without forethought and a consistent preference for immediate over delayed rewards, confers vulnerability to all externalizing spectrum disorders. this includes all disorders along the common developmental progression of attention-deficit/hyperactivity disorder (adhd) in early childhood to conduct disorder (cd) and delinquency in later childhood and adolescence, to substance use disorders (suds) and antisocial personality disorder (aspd) in adulthood. such externalizing progression derives from complex interactions among individual-level vulnerabilities and environmental risk factors over time. specifying how such mechanisms interact across development is a burgeoning area of research. although trait-level mechanisms have long been studied, research linking trait-level to behavioral mechanisms is more limited. furthermore, most existing research uses standard inferential approaches, which are not well suited for modeling complex relations among causal influences at different levels of analysis. in this dissertation, i describe how both (1) the methods used to make inference on individual difference correlations across levels of analysis, and (2) the statistical models used to infer how data within levels of analysis arise often fail to fully embody the substantive theories that researchers aim to test. i use my prior work on the ""reliability paradox"" (haines et al., 2020a) to demonstrate (1), and my work on the iowa gambling task (haines, vassileva, & ahn, 2018) to demonstrate (2). i then discuss a third study (haines et al., 2020b) that shows how joint generative models across levels of analysis (between behavioral and trait mechanisms, behavioral and neural mechanisms, etc.) can be used to better capture individual differences of theoretical interest.",,FALSE
248,U,Risky decision making in psychological disorders.,"Buelow, Melissa T",Risky decision making in psychological disorders.,2020,"risky decision making in psychological disorders provides a detailed examination of how risky decision making is affected by a wide array of individual psychological disorders. the book starts by providing important background information on the construct of risky decision making, the assessment of risky decision making, and the neuroscience behind such decision making. the iowa gambling task, balloon analogue risk task, and other behavioral measures are covered, as are topics such as test reliability and the pros and cons of utilizing tasks that have strong practice effects. the book then moves into how risky decision making is affected by specific psychological disorders, such as addictive behaviors, anxiety disorders, mood disorders, schizophrenia, sleep disorders, eating disorders, and more.",10.1016/C2017-0-02527-2,FALSE
276,R,"Handbook of trauma, traumatic loss, and adversity in children: Development, adversity's impacts, and methods of intervention.","Nader, Kathleen","Handbook of trauma, traumatic loss, and adversity in children: Development, adversity's impacts, and methods of intervention.",2020,"the handbook of trauma, traumatic loss, and adversity in children is a developmentally oriented book rich with findings related to child development, the impact of trauma on development and functioning, and interventions directed at treating reactions to trauma. aspects of attachment and parenting and the use of interrelationships toward therapeutic ends are included in each age-related section of the book, ranging from 0 to 18+. consolidating research from a range of disciplines including neurobiology, psychopathology, and trauma studies, chapters offer guidance on the potentially cascading effects of trauma, and outline strategies for assisting parents and teachers as well as children. readers will also find appendices with further resources for download on the book's website. grounded in interdisciplinary research, the handbook of trauma, traumatic loss, and adversity in children is an important resource for mental health researchers and professionals working with children, adolescents, and families during the ongoing process of healing from traumatic exposure.",,FALSE
300,G,"Executive functioning, affect and eating self-regulation in eating disorders and obesity.","Ciscar, Sonia; Perpina, Conxa; Blasco, Lorena; Segura, Mara","Funcionamiento ejecutivo, afecto y autorregulacion alimentaria en los trastornos alimentarios y la obesidad.",2019,"we analyzed executive functioning in mental flexibility, decision making and central coherence of 39 eating disorder (ed) patients (19 restrictive and 20 binge/purging), 21 obese patients and 20 women with normal weight and without eating psychopathology. moreover, the relationship between executive performance, affect and eating self-regulation was studied. patients with ed and obesity showed similar executive impairments. age and intellectual quotient had a significant influence in mental flexibility. all executive measures were related to affect. mental flexibility and central coherence showed relationship with the expectation of control on intake, and decision making with the urge to eat. cognitive-emotional remediation, applied in patients with ed, could also be applicable in obesity treatment.",,FALSE
353,R,Externalizing proneness and psychopathy.,"Nelson, Lindsay D; Foell, Jens","Handbook of psychopathy., 2nd ed.",2018,"the construct of externalizing proneness, which encompasses tendencies toward impulse control problems of various types, along with affiliated traits, emerged out of research on both child and adult psychopathology and has gained increased visibility in recent years. the chapter begins with an overview of historical findings from personality, child temperament, neuropsychological, and other research areas that served as foundations for formulation of the externalizing construct, and describes how structural modeling and behavior genetics work has contributed to operationalization and further refinement of the construct. we then summarize evidence for the empirical correlates of externalizing proneness (alternatively termed ""trait disinhibition"") across behavioral, personality, psychopathological, health, and neuroscientific outcomes. finally, we describe a proposed multimethod, construct-network approach to the study of externalizing proneness that, by extension, may facilitate research into the behavioral, psychological, and neurobiological underpinnings of psychopathy.",,FALSE
354,R,Successful psychopathy.,"Benning, Stephen D; Venables, Noah C; Hall, Jason R","Handbook of psychopathy., 2nd ed.",2018,"historically, research on psychopathy has focused on samples of incarcerated male offenders. this tradition is potentially problematic because the wealth of findings pertaining to incarcerated criminal psychopathy may not generalize to psychopathy as it is expressed in the community, whether in criminal or noncriminal form. furthermore, research on nonincarcerated individuals with psychopathy may contribute to the identification of protective factors, spanning physiological, cognitive, and behavioral domains that mitigate against chronic engagement in antisocial behavior. additionally, from a theoretical perspective, research on noncriminal psychopathy may help to address fundamental questions regarding the nature of psychopathy as a clinical phenomenon, such as the following: does the essence of psychopathy lie in core personality traits rather than in particular behavioral expressions? in the absence of criminal deviance, should the interpersonal-affective features of psychopathy be considered pathological? what is the true nature of the relationship between psychopathy and criminality? from a clinical standpoint, noncriminal individuals with psychopathy are of interest because they may engage in many behaviors that, although not formally illegal, represent significant breaches of social norms and the rights of others. for instance, they may achieve personal or professional successes at the expense of family, friends, and coworkers, leaving a trail of broken relationships. from this perspective, the ""successful"" psychopathic individual may be well adapted in some areas of life but less successful in other domains of functioning. in this chapter, we lay out criteria for the meaning of the term ""success"" as it interfaces with the concept of psychopathy. rather than constituting a paradox, we argue that successful psychopathy represents the expression of core psychopathic traits in ways conducive to attaining prominence in some socioecological niche, while avoiding serious adverse consequences. we then describe three models of successful psychopathy-subclinical psychopathy, moderated psychopathy, and multiprocess psychopathy-and consider each in relation to extant empirical evidence. as a basis for discussing these alternative models, we first consider key definitional issues.",,FALSE
356,R,Psychopathy and substance use disorders.,"Ellingson, Jarrod M; Littlefield, Andrew K; Verges, Alvaro; Sher, Kenneth J","Handbook of psychopathy., 2nd ed.",2018,"there has been a long-standing awareness of the co-occurrence of psychopathy and substance use disorders (suds). the major focus of this chapter is on externalizing proneness in relation to mechanisms for the co-occurrence of psychopathy and suds across four broad domains of research-personality dimensions, developmental models, neurobiological mechanisms, and genetic mechanisms. the developmental literature has consistently demonstrated that both psychopathy and suds peak during late adolescence or early adulthood and gradually decline thereafter. regarding the neurobiological mechanisms of externalizing proneness and the co-occurrence of psychopathy and suds, dysfunction in the prefrontal cortex and anterior cingulate cortex has been of particular interest, as have been biomarkers such as p3 and error-related negativity. in addition, genetic research has yielded evidence for genes of potential relevance to both constructs, including the maoa, comt, ank1, 5-htt, and chrm2 genes. after reviewing relevant findings in these different areas of research, we conclude the chapter with a discussion of the clinical consequences and implications of this cooccurrence.",,FALSE
358,R,Cognitive and emotional processing in psychopathy.,"Patrick, Christopher J","Handbook of psychopathy., 2nd ed.",2018,"what deviations in neuropsychological systems and processes underlie the observable symptoms of psychopathic personality? the chapter begins with a description of recent conceptual advances in the psychopathy literature that warrant attention in theorizing about neuropsychological ""mechanisms."" following this, i provide an overview of what is known about the functional role of specific brain systems/circuits in the types of cognitive and affective processes that appear most relevant to psychopathy. this is followed by a detailed review of studies that have investigated cognitive and emotional processing in individuals assessed for psychopathy-with particular emphasis on studies that have utilized neurophysiological measures and tested for processing deviations in relation to distinct sub-dimensions of psychopathy. the chapter concludes with a summary and conceptual integration of these different lines of research, with reference to the biobehavioral trait constructs of the triarchic model.",,FALSE
363,G,Differences between men and women in decision-making processes in patients with substance-related disorders.,"Blanco, Adolfo Pinon; Moragues, Esperanza Vergara; Rincon, Tania Torres; Martinez, Olga Gutierrez; Amado, Manuel Conde; Justo, Enrique Vazquez; Lamas, Francisco Otero",Diferencias entre hombres y mujeres en los procesos de toma de decisiones en pacientes con trastornos relacionados con sustancias.,2018,"substance-related disorders (trs) can cause neuropsychological alterations that affect the activities of a person's daily life. the main objective of this work is to study the process of decision making in patients with trs and to analyze if there are differences between men and women. a computerized version of the iowa gambling task (igt) was administered to a total sample of 101 patients with trs who requested outpatient treatment, 81 men (80.2%) and 20 women (19.8%). the results obtained show an alteration in the decision making. likewise, a worse performance was observed in the group of men in decision making compared to the group of women. these data point to the importance of taking into account sex at the time of diagnosis and intervention in people with sdb. future studies are needed to delve into these differences.",,FALSE
415,R,Evaluating the theoretical model for effects of associated with deviant peer on individual deviance.,"Wu, Chung-Chin",Chinese Journal of Guidance and Counseling,2017,"the main purpose of this study was to probe potential contextual effect of deviant peers by introducing alternative method. by using traditional and this alternative, this study considered two aspects which have been ignored: ""measurement errors"" and ""analysis level"". two theoretical models were proposed respectively to represent different consideration of one aspect or both aspects. single level structural equation model was introduced to consider measurement errors but limited on its ability to take contextual effect into account. more importantly, the contextual effect of deviant peers was greater than the individual effect of which. according to results, the contextual effect of deviant peers on individual deviances should be considered in social learning theory and empirical studies in addition to investigate the effect of deviant peers on individual deviances. comparing to sem, msem was a more useful tool which could be used to investigate explicit and implicit theoretical assumptions or relations. because the contextual effect was more prominent than the effect on individual level. it suggested the contextual effect of deviant peers should be considered first and treated it seriously. in practical, the contextual effect may be weaken by adapting several  the first is context switching which is similar to time-out method. theoretical, it may be useful for suspending the relationship between deviant peer and individual. second, counseling methods could be incorporated into curriculum, and teacher should increasing frequency chats with students to understanding what they are thinking, doing and engaging in. the last but not least, it is important for teachers to observe interactions between students during breaking time in school.",,FALSE
