title,abstract,authors,year,keywords,orig_index,data_ret_flag,hollow_flag,grey_flag,update_flag,doi
DTM 2022 Abstracts.,,,2023,,945,manual,TRUE,TRUE,U,10.1177/19322968221150148
2022 Joint Conference Abstracts Brain Injury.,,,2022,,994,manual,TRUE,TRUE,U,10.1097/HTR.0000000000000845
Abstracts.,,,2022,,1004,manual,TRUE,TRUE,U,10.1002/mds.29223
Targeting goal-based decision-making for addiction recovery.,"Neurocognitive mechanisms of action-outcome learning
A large body of work has implicated three behaviourally dissociable learning systems – Pavlovian, habitual, and goal-directed – which operate according to distinct computational principles. These three systems often compete to control behaviour in everyday life. In neuropsychological models of addiction, the interaction between goal-directed and habitual systems has been of particular interest (Everitt and Robbins, 2005). Several studies have shown that people with substance use disorders, and

Action-outcome learning in the pathophysiology of addiction
The traditional paradigms to investigate action-outcome associations in addiction have been the probabilistic reversal learning task, in which individuals must learn the value of a stimulus through trial-and-error, and the bandit task, in which participants sample from different choice options (bandits) that have unknown probabilities of winning and losing. More recently, innovative tasks have been developed to simultaneously characterise multiple learning strategies within the same individual

Leveraging new models of action-outcome learning to inform treatment and recovery
An impaired ability to engage with action selection policies that are likely to produce positive outcomes has obvious implications for the success of treatment programs for addiction. Recovery-oriented goals, such as securing employment and reconstructing family and social relationships, require a complex iterative series of action-outcome choices and related contingencies. Consumers enrolled in addiction treatment may face complex challenges to engage with these goals if they do not grasp the","Verdejo-Garcia, A; Chong, TT",2021,Decision-making; Addiction; Reinforcement learning; Goals; Neurocognitive mechanisms; Recovery,1036,manual,FALSE,FALSE,U,10.1016/j.pbb.2021.173275
Reduced neural differentiation of rewards and punishment during passive avoidance learning in adolescents with generalized anxiety disorder.,"It has been proposed that individuals with generalized anxiety disorder (GAD) show dysfunctional computations related to approach-avoidance decision-making. However, few studies have examined the neural basis of this impairment, particularly in adolescents with GAD. The goal of the current study was to address this gap in the literature.

Method
The study involved 51 adolescents with GAD and 51 typically developing (TD) comparison individuals matched on age (16.10 and 15.75 respective means), gender (30_F/21_M and 24_F/27_M), and IQ (103.20 and 103.18 respective means). Participants underwent functional magnetic resonance imaging during a passive avoidance task.

Results
We found a significant Group-by-Reinforcement interaction within reward-related brain regions including the caudate, putamen, mid cingulate/paracentral lobule, and superior and middle frontal gyrus. TD adolescents showed a greater differential response to reward versus punishment feedback within these regions relative to adolescents with GAD. In particular, this reflected reduced responses to rewards in the adolescents with GAD. There were no group differences in neural responses when making approach/avoidance responses.

Conclusion
The results of this study suggest reduced differential responsiveness to reinforcement as a component of the pathophysiology seen in adolescents with GAD. This dysfunction likely underpins decision-making impairments that may exacerbate the participants' worry.","Bashford‚ÄêLargo, J; Aloi, J; Zhang, R; Bajaj, S; Carollo, E; Elowsky, J; Schwartz, A; Dobbertin, M; Blair, RJR; Blair, KS",2021,fMRI; decision-making; neuroimaging; GAD; anxiety,1054,manual,FALSE,FALSE,U,10.1002/da.23150
Poster Abstracts.,,,2021,,1057,manual,TRUE,TRUE,U,10.1111/acer.14628
Family history of depression is associated with alterations in task-dependent connectivity between the cerebellum and ventromedial prefrontal cortex.,"A family history of major depressive disorder (MDD) increases the likelihood of a future depressive episode, which itself poses a significant risk for disruptions in reward processing and social cognition. However, it is unclear whether a family history of MDD is associated with alterations in the neural circuitry underlying reward processing and social cognition.

Methods
We subdivided 279 participants from the Human Connectome Project into three groups: 71 with a lifetime history of MDD, 103 with a family history (FH) of MDD, and 105 healthy controls (HCs). We then evaluated task-based functional magnetic resonance imaging data on a social cognition and a reward processing task and found a region of the ventromedial prefrontal cortex (vmPFC) that responded to both tasks, independent of the group. To investigate whether the vmPFC shows alterations in functional connectivity between groups, we conducted psychophysiological interaction analyses using the vmPFC as a seed region.

Results
We found that FH (relative to HC) was associated with increased sadness scores, and MDD (relative to both FH and HC) was associated with increased sadness and MDD symptoms. Additionally, the FH group had increased vmPFC functional connectivity within the nucleus accumbens, left dorsolateral PFC, and subregions of the cerebellum relative to HC during the social cognition task.

Conclusions
These findings suggest that aberrant neural mechanisms among those with a familial risk of MDD may underlie vulnerability to altered social cognition.","Tepfer, LJ; Alloy, LB; Smith, DV",2021,fMRI; functional connectivity; family history; depression,1060,manual,FALSE,FALSE,U,10.1002/da.23143
Eposter Session 1.,,,2021,,1070,manual,TRUE,TRUE,U,10.1111/pedi.13198
Abstract.,,,2021,,1071,manual,TRUE,TRUE,U,10.1111/eci.13567
"Abstracts of the MUNICH NEUROPHYSIOLOGY CONFERENCE 2015, Annual Joint Meeting of ECNS, ISNIP and ISBET, Munich, Germany, Sept 9-13, 2015.",,,2020,,1076,manual,TRUE,TRUE,U,10.1177/1550059415622686
[beta]-cells in youth with impaired glucose tolerance or early type 2 diabetes secrete more insulin and are more responsive than in adults.,"Glycemic control deteriorates more rapidly in youth vs adults. We compared model-derived measures of _-cell function between youth and adults with either impaired glucose tolerance (IGT) or type 2 diabetes to determine if a _-cell defect differentiates these age groups.

Methods
This is a cross-sectional analysis of baseline data from the Restoring Insulin Secretion (RISE) Study. Youth (54 Y-IGT, 33 Y-D) and adults (250 A-IGT, 104 A-D) underwent 3-hour oral glucose tolerance tests for modeling of insulin secretion rates (ISRs), glucose sensitivity, and rate sensitivity. Insulin sensitivity was quantified as the glucose infusion rate/insulin (M/I) from a hyperglycemic clamp.

Results
Youth had lower insulin sensitivity despite similar body mass index. Analyses were adjusted for insulin sensitivity. Youth had higher basal ISRs (Y-IGT 200_±_161 vs A-IGT 152_±_74, P_<_.001; Y-D 245_±_2.5 vs A-D 168_±_115_pmol/min/m2, P = .007) and total ISRs (Y-IGT 124_±_86 vs A-IGT 98_±_39, P_<_.001; Y-D 116_±_110 vs A-D 97_±_62_nmol/m2, P = .002). Within IGT, glucose sensitivity (Y-IGT 140_±_153 vs A-IGT 112_±_70_pmol/min/m2/mM, P = .004) and rate sensitivity (median[interquartile range]:Y-IGT 2271[1611, 3222] vs A-IGT 1164[685, 1565] pmol/m2/mM, P_<_.001) were higher in youth, but not different by age group within diabetes.

Conclusions
Model-derived measures of _-cell function provide additional insight into the pathophysiology of type 2 diabetes in youth with higher ISRs and _-cell secretion more responsive to glucose in youth relative to adults even after adjusting for differences in insulin sensitivity. It is unknown whether these findings in youth reflect _-cells that are healthier or whether this is a defect that contributes to more rapid loss of function","Utzschneider, KM; Tripputi, MT; Kozedub, A; Mather, KJ; Nadeau, KJ; Edelstein, SL; Hannon, TS; Arslanian, SA; Cree‚ÄêGreen, M; Buchanan, TA; Caprio, S; Mari, A; The RISE Consortium",2020,type 2 diabetes; [beta]-cell function; insulin secretion; impaired glucose tolerance; insulin sensitivity,1079,manual,FALSE,FALSE,U,10.1111/pedi.13113
Volumes of the Hippocampal Formation Differentiate Component Processes of Memory in a Community Sample of Homeless and Marginally Housed Persons.,"Persons who are homeless or marginally housed exhibit significant cognitive dysfunction, with memory being the most impaired domain. Hippocampal subfield volumes have been found to differentially relate to component processes of memory. The neural correlates of memory have not been previously examined in marginalized persons who are understudied and underserved. We examined whether hippocampal subfields and entorhinal cortex volumes are uniquely related to indices of verbal episodic memory using the Hopkins Verbal Learning Test – Revised.

Method
Data was used from a large sample of community dwelling homeless and marginally housed adults (N = 227). Regression analyses were conducted to examine hippocampal subfield volumes (CA1, CA3, CA4, dentate gyrus, subiculum) and entorhinal cortex, and their associations with measures of verbal immediate recall, learning slope, and verbal delayed recall.

Results
Greater CA3 subfield volume was associated with better performance on an index of encoding (immediate recall), but only in older individuals. Greater CA1 and subiculum volumes were associated with better performance on immediate and delayed recall (measures that tap into retrieval processes), but not with learning slope (a more pure index of encoding). Entorhinal cortex volume was related to all components of memory beyond total hippocampal volume.

Conclusions
Our results suggest common neuroanatomical correlates of memory dysfunction in large sample of marginalized persons, and these are uniquely related to different components of memory. These findings have clinical relevance for marginalized populations and theoretical relevance to the growing literature on functional specialization of the hippocampal subfields","Gicas, KM; Thornton, AE; Waclawik, K; Wang, N; Jones, AA; Panenka, WJ; Lang, DJ; Smith, GN; Vila-Rodriguez, F; Leonova, O; Barr, AM; Procyshyn, RM; Buchanan, T; Su, W; Vertinsky, AT; Rauscher, A; MacEwan, GW; Honer, WG",2019,Cognition; Memory; Hippocampus; Comorbidity; Neuroimaging,1115,manual,FALSE,FALSE,U,10.1093/arclin/acy066
Abstracts.,,,2019,,1117,manual,TRUE,TRUE,U,10.1111/bcpt.13217
Abstracts.,,,2019,,1124,manual,TRUE,TRUE,U,10.1111/hel.12647
Abstracts.,,,2019,,1128,manual,TRUE,TRUE,U,10.1002/pds.4864
Poster Sessions Wednesday/Thursday.,,,2019,,1129,manual,TRUE,TRUE,U,10.1111/jnc.14777
Abstracts.,,,2019,,1132,manual,TRUE,TRUE,U,10.1097/SHK.0000000000001374
"Associations of growth from birth to puberty with glycemic indicators at ~17.5 years: Evidence from Hong Kong's ""Children of 1997"" birth cohort.","From an evolutionary biology perspective, where growth and reproduction trade-off against longevity, we assessed the associations of growth from birth to puberty by phase with later glycemic indicators and any differences by sex.

Methods
In the population-representative Hong Kong Chinese “Children of 1997” birth cohort (n_=_8327), the relation of initial size (weight-for-age z score (WAZ) at birth, length/height-for-age z score (LAZ) at 3_months or body-mass-index-for-age z score (BAZ) at 3_months based on the World Health Organization growth standards/references) and growth at different phases (WAZ gains from 0 to 2 and 2 to 8_years, LAZ or BAZ gains from 3_months to 3_years, 3 to 8_years and 8 to 14 years) with fasting plasma glucose (FPG) and glycated hemoglobin (HbA1c) at ~17.5_years, was assessed using adjusted partial least squares regression. Additional analyses further considered growth in late and early infancy.

Results
This study included 3276 of the cohort participants. Higher WAZ gain from 2 to 8_years, LAZ and BAZ gains from 3 to 8_years were consistently associated with higher FPG, adjusted for maternal and infant characteristics, family history of diabetes and household income. Also, higher BAZ gain from 3 to 8_years was associated with higher HbA1c. These associations did not differ by sex.

Conclusions
Our findings suggest different mechanisms could underlie the pathogenesis of glucose intolerance. Factors that drive specific growth at different phases need to be evaluated to better inform child growth management for long-term health outcomes","Cheng, TS; Leung, GM; Hui, LL; Leung, JYY; Kwok, MK; Au Yeung, SL; Schooling, CM",2019,BMI; fasting plasma glucose; HbA1c; length/height; weight,1133,manual,FALSE,FALSE,U,10.1111/pedi.12838
