orig_index,title,year,journal,issn,volume,issue,pages,authors,language,abstract,doi,keywords,orig_abstract,label,final_score,category,user_judgment
1520,Risk and learning in impulsive and nonimpulsive patients with Parkinson's disease.,2010,Mov. disord.,0885-3185,25,13,2203-2210,"Djamshidian, Atbin; Jha, Ashwani; O'Sullivan, Sean; Silveira-Moriyama, Laura; MD, PhD; Jacobson, Clare; Brown, Peter; MD, MRCP; Lees, Andrew; Averbeck, Bruno",,"colon; relatively little is known about the interaction between behavioral changes, medication, and cognitive function in parkinson's disease (pd). we examined working memory, learning and risk aversion in pd patients with and without impulsive or compulsive behavior (icb) and compared the results with those in a group of age-matched control subjects. parkinson patients with pd+icb had poorer working memory performance than either controls or pd patients without icb. pd+icb patients also showed decreased learning from negative feedback and increased learning from positive feedback in off compared with on dopaminergic medication. this interaction between medication status and learning was the opposite of that found in the pd patients without a diagnosis of icb. finally, the pd group showed increased risk preference on medication relative to controls, and the subgroup of pd+icb patients with pathological gambling were overall more risk prone than the pd group. thus, medication status and an impulsive behavioral diagnosis differentially affect several behaviors in pd.",10.1002/mds.23247,memory; Parkinson's disease; impulse control disorder; risk and learning,"colon; Relatively little is known about the interaction between behavioral changes, medication, and cognitive function in Parkinson's disease (PD). We examined working memory, learning and risk aversion in PD patients with and without impulsive or compulsive behavior (ICB) and compared the results with those in a group of age-matched control subjects. Parkinson patients with PD+ICB had poorer working memory performance than either controls or PD patients without ICB. PD+ICB patients also showed decreased learning from negative feedback and increased learning from positive feedback in off compared with on dopaminergic medication. This interaction between medication status and learning was the opposite of that found in the PD patients without a diagnosis of ICB. Finally, the PD group showed increased risk preference on medication relative to controls, and the subgroup of PD+ICB patients with pathological gambling were overall more risk prone than the PD group. Thus, medication status and an impulsive behavioral diagnosis differentially affect several behaviors in PD. (C) 2010 Movement Disorder Society, (C) 2010 John Wiley & Sons, Ltd",irrelevant,0,Irrelevant,D
1092,Spectrum of impulse control behaviours in Parkinson's disease: pathophysiology and management.,2020,J Neurol Neurosurg Psychiatry,0022-3050,91,7,703-711,"Kelly, Mark; Baig, Fahd; Hu, Michele; Okai, David",,"impulse control behaviours (icbs) are a range of behaviours linked by their reward-based, repetitive natures. they can be precipitated in parkinson's disease (pd) by dopamine replacement therapy, often with detrimental consequences for patients and caregivers. while now a well-recognised non-motor feature of treated pd, much remains unknown about the influence of risk factors, pathophysiological mechanisms, vulnerability factors for specific types of behaviour and the optimal management strategies. imaging studies have identified structural and functional changes in striatal and prefrontal brain regions, among others. gene association studies indicate a role for genetic predisposition to pd-icb. clinical observational studies have identified potential modifiable and non-modifiable risk factors. psychological studies shed light on the neurocognitive domains implicated in pd-icbs and identify psychosocial determinants that may perpetuate the cycle of impulsive and harm-avoidance behaviours. based on these results, a range of pharmacological and non-pharmacological management strategies have been trialled in pd-icbs with varying success. the purpose of this review is to update clinicians on the evidence around the pathophysiology of pd-icb. we aim to translate our findings into an interpretable biopsychosocial model that can be applied to the clinical assessment and management of individual cases of pd-icb.,",10.1136/jnnp-2019-322453,clinical neurology; impulse control; movement disorders; neuropsychiatry; parkinson's disease,"Impulse control behaviours (ICBs) are a range of behaviours linked by their reward-based, repetitive natures. They can be precipitated in Parkinson's disease (PD) by dopamine replacement therapy, often with detrimental consequences for patients and caregivers. While now a well-recognised non-motor feature of treated PD, much remains unknown about the influence of risk factors, pathophysiological mechanisms, vulnerability factors for specific types of behaviour and the optimal management strategies. Imaging studies have identified structural and functional changes in striatal and prefrontal brain regions, among others. Gene association studies indicate a role for genetic predisposition to PD-ICB. Clinical observational studies have identified potential modifiable and non-modifiable risk factors. Psychological studies shed light on the neurocognitive domains implicated in PD-ICBs and identify psychosocial determinants that may perpetuate the cycle of impulsive and harm-avoidance behaviours. Based on these results, a range of pharmacological and non-pharmacological management strategies have been trialled in PD-ICBs with varying success. The purpose of this review is to update clinicians on the evidence around the pathophysiology of PD-ICB. We aim to translate our findings into an interpretable biopsychosocial model that can be applied to the clinical assessment and management of individual cases of PD-ICB., (C) 2020 BMJ Publishing Group Ltd",irrelevant,0.014674794,Irrelevant,D
1196,The pathophysiological mechanisms of motivational deficits in Parkinson's disease.,2018,Prog. neuro-psychopharmacol. biol. psychiatry,0278-5846,81,,138-152,"Chagraoui, A.; Boukhzar, L.; Thibaut, F.; Anouar, Y.; Maltete, D.",,": parkinson's disease (pd) is a progressive degenerative disorder that leads to disabling motor symptoms and a wide variety of neuropsychiatric symptoms. apathy is the most common psychiatric disorder in the early stages of untreated pd and can be defined as a hypodopaminergic syndrome, which also includes anxiety and depression. apathy is also considered the core feature of the parkinsonian triad (apathy, anxiety and depression) of behavioural non-motor signs, including a motivational deficit. moreover, apathy is recognised as a distinct chronic neuropsychiatric behavioural disorder based on specific diagnostic criteria. given the prevalence of apathy in approximately 40% of the general parkinson's disease population, this appears to be a contributing factor to dementia in pd; also, apathy symptoms are factors that potentially contribute to morbidity, leading to a major impairment of health-related quality of life, thus stressing the importance of understanding the pathophysiology of this disease. several studies have clearly established a prominent role for da-mediated signals in pd apathy. however, synergistic interaction between dopaminergic impairment resulting from the neurodegenerative process and deep brain stimulation of the subthalamic nucleus may cause or exacerbate apathy. furthermore, serotoninergic mechanism signalling is also likely to be of importance in this pathophysiology., highlights:, apathy is a typical psychiatric feature of parkinson disease., standardized diagnostic criteria to identify apathy remain lacking., mesocorticolimbic system plays a key role in the pathogenesis of apathy., motivational and affective deficits observed in apathy may occur through subthalamic nucleus deep brain stimulation., * serotoninergic mechanism signaling is involved in the pathophysiology of apathy.,",10.1016/j.pnpbp.2017.10.022,Dopaminergic; Pathophysiology; Deep brain stimulation; Apathy; Mechanism; Serotoninergic; Subthalamic nucleus,": Parkinson's disease (PD) is a progressive degenerative disorder that leads to disabling motor symptoms and a wide variety of neuropsychiatric symptoms. Apathy is the most common psychiatric disorder in the early stages of untreated PD and can be defined as a hypodopaminergic syndrome, which also includes anxiety and depression. Apathy is also considered the core feature of the parkinsonian triad (apathy, anxiety and depression) of behavioural non-motor signs, including a motivational deficit. Moreover, apathy is recognised as a distinct chronic neuropsychiatric behavioural disorder based on specific diagnostic criteria. Given the prevalence of apathy in approximately 40% of the general Parkinson's disease population, this appears to be a contributing factor to dementia in PD; also, apathy symptoms are factors that potentially contribute to morbidity, leading to a major impairment of health-related quality of life, thus stressing the importance of understanding the pathophysiology of this disease. Several studies have clearly established a prominent role for DA-mediated signals in PD apathy. However, synergistic interaction between dopaminergic impairment resulting from the neurodegenerative process and deep brain stimulation of the subthalamic nucleus may cause or exacerbate apathy. Furthermore, serotoninergic mechanism signalling is also likely to be of importance in this pathophysiology., Highlights:, * Apathy is a typical psychiatric feature of Parkinson disease., * Standardized diagnostic criteria to identify apathy remain lacking., * Mesocorticolimbic system plays a key role in the pathogenesis of apathy., * Motivational and affective deficits observed in apathy may occur through subthalamic nucleus deep brain stimulation., * Serotoninergic mechanism signaling is involved in the pathophysiology of apathy., (C) 2018Elsevier, Inc.",irrelevant,0.014958038,Irrelevant,D
1488,Impulse control disorders in Parkinson's disease: recent advances.,2011,Curr Opin Neurol,1350-7540,24,4,324-330,"Voon, Valerie; Mehta, Arpan; Hallett, Mark",,"purpose of review: the aim is to review the recent advances in the epidemiology and pathophysiology of impulse control disorders (icds) in parkinson's disease., recent findings: large cross-sectional and case-control multicentre studies show that icds in parkinson's disease are common, with a frequency of 13.6%. these behaviours are associated with impaired functioning and with depressive, anxiety and obsessive symptoms, novelty seeking and impulsivity. behavioural subtypes demonstrate differences in novelty seeking and impulsivity, suggesting pathophysiological differences. observational and neurophysiological studies point towards a potential mechanistic overlap between behavioural (icds) and motor (dyskinesias) dopaminergic sequelae. converging data suggest dopamine agonists in icds appear to enhance learning from rewarding outcomes and impulsive choice. icd patients also have enhanced risk preference and impaired working memory. neuroimaging data point towards enhanced bottom-up ventral striatal dopamine release to incentive cues, gambling tasks and reward prediction, and possible inhibition of top-down orbitofrontal influences. dopamine agonist-related ventral striatal hypoactivity to risk is consistent with impaired risk evaluation., recent large-scale studies and converging findings are beginning to provide an understanding of mechanisms underlying icds in parkinson's disease, which can guide prevention of these behaviours and optimize therapeutic approaches.,",10.1097/WCO.0b013e3283489687,impulsivity; pathological gambling; Parkinson's disease; impulse control disorders; dopamine agonists,"Purpose of review: The aim is to review the recent advances in the epidemiology and pathophysiology of impulse control disorders (ICDs) in Parkinson's disease., Recent findings: Large cross-sectional and case-control multicentre studies show that ICDs in Parkinson's disease are common, with a frequency of 13.6%. These behaviours are associated with impaired functioning and with depressive, anxiety and obsessive symptoms, novelty seeking and impulsivity. Behavioural subtypes demonstrate differences in novelty seeking and impulsivity, suggesting pathophysiological differences. Observational and neurophysiological studies point towards a potential mechanistic overlap between behavioural (ICDs) and motor (dyskinesias) dopaminergic sequelae. Converging data suggest dopamine agonists in ICDs appear to enhance learning from rewarding outcomes and impulsive choice. ICD patients also have enhanced risk preference and impaired working memory. Neuroimaging data point towards enhanced bottom-up ventral striatal dopamine release to incentive cues, gambling tasks and reward prediction, and possible inhibition of top-down orbitofrontal influences. Dopamine agonist-related ventral striatal hypoactivity to risk is consistent with impaired risk evaluation., Summary: Recent large-scale studies and converging findings are beginning to provide an understanding of mechanisms underlying ICDs in Parkinson's disease, which can guide prevention of these behaviours and optimize therapeutic approaches., (C) 2011 Lippincott Williams & Wilkins, Inc.",irrelevant,0.015061151,Irrelevant,D
1335,"Parkinson's Disease, the Subthalamic Nucleus, Inhibition, and Impulsivity.",2015,Mov. disord.,0885-3185,30,2,128-140,"Jahanshahi, Marjan; Obeso, Ignacio; Baunez, Christelle; Alegre, Manuel; MD, PhD; Krack, Paul",,"although parkinson's disease (pd) is primarily considered a disorder of initiation of actions, patients also have deficits in inhibitory control, both in the motor and cognitive domains. impulse control disorders, which can develop in association with dopaminergic medication in a small proportion of patients with pd, are the symptoms most commonly considered as representing inhibitory deficits. however, there is now also a body of evidence suggesting a role for the subthalamic nucleus (stn), which is ordinarily hyperactive in pd, in inhibitory control. here, we review evidence from animal studies, imaging studies, and investigations recording stn activity intra- or perioperatively in patients with pd having surgery for dbs of the stn (stn-dbs). we also highlight relevant hypotheses about the role of the stn and consider evidence from studies that have examined the effect of stn-dbs in patients with pd on performance of experimental tasks requiring inhibition of prepotent or habitual responses or decision making under conflict, as well as the psychiatric side effects of stn-dbs. though the results are not always consistent, nevertheless, this body of evidence supports the role of the stn in inhibitory and executive control.",10.1002/mds.26049,impulsivity; inhibition; Parkinson's disease; subthalamic nucleus,"Although Parkinson's disease (PD) is primarily considered a disorder of initiation of actions, patients also have deficits in inhibitory control, both in the motor and cognitive domains. Impulse control disorders, which can develop in association with dopaminergic medication in a small proportion of patients with PD, are the symptoms most commonly considered as representing inhibitory deficits. However, there is now also a body of evidence suggesting a role for the subthalamic nucleus (STN), which is ordinarily hyperactive in PD, in inhibitory control. Here, we review evidence from animal studies, imaging studies, and investigations recording STN activity intra- or perioperatively in patients with PD having surgery for DBS of the STN (STN-DBS). We also highlight relevant hypotheses about the role of the STN and consider evidence from studies that have examined the effect of STN-DBS in patients with PD on performance of experimental tasks requiring inhibition of prepotent or habitual responses or decision making under conflict, as well as the psychiatric side effects of STN-DBS. Though the results are not always consistent, nevertheless, this body of evidence supports the role of the STN in inhibitory and executive control. (C) 2014 International Parkinson and Movement Disorder Society, (C) 2015 John Wiley & Sons, Ltd",irrelevant,0.016159944,Irrelevant,D
1387,What are people with Parkinson's disease really impaired on when it comes to making decisions? A meta-analysis of the evidence.,2013,Neurosci Biobehav Rev,0149-7634,37,10Part2,2836-2846,"Ryterska, Agata; Jahanshahi, Marjan; Osman, Magda",,": parkinson's disease (pd) is associated with motor and cognitive impairment caused by dopamine dysregulation in the basal ganglia. amongst a host of cognitive deficits, evidence suggests that decision-making is impaired in patients with pd, but the exact scope of this impairment is still unclear. the aim of this review was to establish which experimental manipulations commonly associated with studies involving decision-making tasks were most likely to generate impairments in performance in pd patients. this allowed us to address the question of the exact scope of the decision-making deficits in pd and to hypothesize about the role of the basal ganglia in decision-making processes. we conducted a meta-analysis of available literature, which revealed that the two key predictors of impairment in pd were the feedback structure of the decision-making task and the medication status of patients while performing the tasks. rather than a global impairment in decision-making ability, these findings suggest that deficiencies in choice-behaviour in patients with pd stem from dysfunctions at the outcome evaluation stage of the decision-making process., highlights:, we review studies investigating decision-making in parkinson's disease., we conduct a meta-analysis of the results of these studies., discrete feedback and dopaminergic medication affect decision-making in pd., no support found for general decision-making impairment in pd.,",10.1016/j.neubiorev.2013.10.005,Decision-making; Risky decision-making; Feedback; Parkinson's disease; Effort-based decision-making; Value-based decision-making; Basal ganglia; Decision-making under uncertainty; Dopaminergic medication,": Parkinson's disease (PD) is associated with motor and cognitive impairment caused by dopamine dysregulation in the basal ganglia. Amongst a host of cognitive deficits, evidence suggests that decision-making is impaired in patients with PD, but the exact scope of this impairment is still unclear. The aim of this review was to establish which experimental manipulations commonly associated with studies involving decision-making tasks were most likely to generate impairments in performance in PD patients. This allowed us to address the question of the exact scope of the decision-making deficits in PD and to hypothesize about the role of the basal ganglia in decision-making processes. We conducted a meta-analysis of available literature, which revealed that the two key predictors of impairment in PD were the feedback structure of the decision-making task and the medication status of patients while performing the tasks. Rather than a global impairment in decision-making ability, these findings suggest that deficiencies in choice-behaviour in patients with PD stem from dysfunctions at the outcome evaluation stage of the decision-making process., Highlights:, * We review studies investigating decision-making in Parkinson's disease., * We conduct a meta-analysis of the results of these studies., * Discrete feedback and dopaminergic medication affect decision-making in PD., * No support found for general decision-making impairment in PD., (C) 2013Elsevier, Inc.",irrelevant,0.019528483,Irrelevant,D
1549,Cognitive impulsivity in Parkinson's disease patients: Assessment and pathophysiology.,2009,Mov. disord.,0885-3185,24,16,2316-2327,"Robert, Gabriel; Drapier, Dominique; MD, PhD; Verin, Marc; MD, PhD; Millet, Bruno; MD, PhD; Azulay, Jean-Philippe; MD, PhD; Blin, Olivier; MD, PhD",,": impulsivity may be induced by therapeutic interventions (dopamine replacement therapies and sub-thalamic nucleus (stn) stimulation) in patients with parkinson's disease (pd). the present review has two goals. first, to describe the most frequently encountered facets of cognitive impulsivity and to stress the links between cognitive impulsivity and aspects such as reward-related decision making, risk-taking, and time-processing in healthy population. the most widely used related cognitive impulsivity paradigms are presented. second, to review the results of studies on cognitive impulsivity in healthy volunteers and in patients with pd, the latter support the applicability and clinical relevance of this construct in pd population. data show that pd treatments may favor impulsivity via different mechanisms. suggestions on the roles of dopamine and stn in the pathophysiology of cognitive impulsivity are proposed.",10.1002/mds.22836,impulsivity; dopamine; Parkinson's disease; subthalamic nucleus; limbic,": Impulsivity may be induced by therapeutic interventions (dopamine replacement therapies and sub-thalamic nucleus (STN) stimulation) in patients with Parkinson's disease (PD). The present review has two goals. First, to describe the most frequently encountered facets of cognitive impulsivity and to stress the links between cognitive impulsivity and aspects such as reward-related decision making, risk-taking, and time-processing in healthy population. The most widely used related cognitive impulsivity paradigms are presented. Second, to review the results of studies on cognitive impulsivity in healthy volunteers and in patients with PD, the latter support the applicability and clinical relevance of this construct in PD population. Data show that PD treatments may favor impulsivity via different mechanisms. Suggestions on the roles of dopamine and STN in the pathophysiology of cognitive impulsivity are proposed. (C) 2009 Movement Disorder Society, Copyright (C) 2009 John Wiley & Sons, Inc.",irrelevant,0.020784383,Irrelevant,D
1405,Impulsivity and apathy in Parkinson's disease.,2013,J. neuropsychol.,1748-6645,7,2,255-283,"Sinha, Nihal; Manohar, Sanjay; Husain, Masud",,": impulse control disorders (icds) and apathy are recognized as two important neuropsychiatric syndromes associated with parkinson's disease (pd), but as yet we understand very little about the cognitive mechanisms underlying them. here, we review emerging findings, from both human and animal studies, that suggest that impulsivity and apathy are opposite extremes of a dopamine-dependent spectrum of motivated decision making. we first argue that there is strong support for a hypodopaminergic state in pd patients with apathy, as well as for an association between dopamine therapy and development of icds. however, there is little evidence for a clear dose-response relationship, and great heterogeneity of findings. we argue that dopaminergic state on its own is an insufficient explanation, and suggest instead that there is now substantial evidence that both apathy and impulsivity are in fact multi-dimensional syndromes, with separate, dissociable mechanisms underlying their 'surface' manifestations. some of these mechanisms might be dopamine-dependent. according to this view, individuals diagnosed as impulsive or apathetic may have very different mechanisms underlying their clinical states. we propose that impulsivity and apathy can arise from dissociable deficits in option generation, option selection, action initiation or inhibition and learning. review of the behavioural and neurobiological evidence leads us to a new conceptual framework that might help understand the variety of functional deficits seen in pd.,",10.1111/jnp.12013,,": Impulse control disorders (ICDs) and apathy are recognized as two important neuropsychiatric syndromes associated with Parkinson's disease (PD), but as yet we understand very little about the cognitive mechanisms underlying them. Here, we review emerging findings, from both human and animal studies, that suggest that impulsivity and apathy are opposite extremes of a dopamine-dependent spectrum of motivated decision making. We first argue that there is strong support for a hypodopaminergic state in PD patients with apathy, as well as for an association between dopamine therapy and development of ICDs. However, there is little evidence for a clear dose-response relationship, and great heterogeneity of findings. We argue that dopaminergic state on its own is an insufficient explanation, and suggest instead that there is now substantial evidence that both apathy and impulsivity are in fact multi-dimensional syndromes, with separate, dissociable mechanisms underlying their 'surface' manifestations. Some of these mechanisms might be dopamine-dependent. According to this view, individuals diagnosed as impulsive or apathetic may have very different mechanisms underlying their clinical states. We propose that impulsivity and apathy can arise from dissociable deficits in option generation, option selection, action initiation or inhibition and learning. Review of the behavioural and neurobiological evidence leads us to a new conceptual framework that might help understand the variety of functional deficits seen in PD., (C) 1999?2012 John Wiley & Sons, Inc",irrelevant,0.026900153,Irrelevant,D
760,Impulsivity and Parkinson's disease: More than just disinhibition.,2011,Journal of the Neurological Sciences,0022-510X,310,2-Jan,202-207,"Antonelli, Francesca; Ray, Nicola; Strafella, Antonio P",English,"in the last few years it has become clear that impulsivity is a complex behaviour composed of different domains and dependent on different neural networks. the proposed pathogenetic mechanisms for the emergence of impulsivity disorders in parkinson's disease (pd) can be broadly separated into three potentially interacting processes: the contribution of premorbid susceptibility to impulsivity, the contribution of the disease itself to the behaviour and the potential contribution of therapeutic agents. growing evidence suggests that dopamine and the subthalamic nucleus are playing a certain role in the pathophysiology of different aspects of impulsivity. in this review, we summarise the main concepts defining various components of impulsivity both in healthy subjects and patients affected by pd.",10.1016/j.jns.2011.06.006,Dopamine; Neuroimaging; Impulsiveness; *Subthalamic Nucleus; *Impulse Control Disorders; Pathophysiology,"In the last few years it has become clear that impulsivity is a complex behaviour composed of different domains and dependent on different neural networks. The proposed pathogenetic mechanisms for the emergence of impulsivity disorders in Parkinson's Disease (PD) can be broadly separated into three potentially interacting processes: the contribution of premorbid susceptibility to impulsivity, the contribution of the disease itself to the behaviour and the potential contribution of therapeutic agents. Growing evidence suggests that dopamine and the subthalamic nucleus are playing a certain role in the pathophysiology of different aspects of impulsivity. In this review, we summarise the main concepts defining various components of impulsivity both in healthy subjects and patients affected by PD. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",irrelevant,0.02955655,Irrelevant,D
695,A systematic review of impulse control disorders in Parkinson's disease.,2013,Journal of Parkinson's Disease,1877-7171,3,2,105-138,"Callesen, Mette Buhl; Scheel-Kruger, Jorgen; Kringelbach, Morten L; Moller, Arne",English,"throughout the past decade it has been recognized that dopaminergic medication administered to remedy motor symptoms in parkinson's disease is associated with an enhanced risk for impulse control disorders and related compulsive behaviors such as hobbyism, punding, and the dopamine dysregulation syndrome. these complications are relatively frequent, affecting 6-15.5% of patients, and they most often appear, or worsen, after initiation of dopaminergic therapy or dosage increase. recently, impulse control disorders have also been associated with subthalamic nucleus deep brain stimulation. here we present a systematic overview of literature published between 2000 and january 2013 reporting impulse control disorders in parkinson's disease. we consider prevalence rates and discuss the functional neuroanatomy, the impact of dopamine-serotonin interactions, and the cognitive symptomatology associated with impulse control disorders in parkinson's disease. finally, perspectives for future research and management of impulse control disorders in parkinson's disease are discussed.",10.3233/JPD-120165,Dopamine; Animals; Drug Therapy; *Subthalamic Nucleus; *Impulse Control Disorders; Deep Brain Stimulation,"Throughout the past decade it has been recognized that dopaminergic medication administered to remedy motor symptoms in Parkinson's disease is associated with an enhanced risk for impulse control disorders and related compulsive behaviors such as hobbyism, punding, and the dopamine dysregulation syndrome. These complications are relatively frequent, affecting 6-15.5% of patients, and they most often appear, or worsen, after initiation of dopaminergic therapy or dosage increase. Recently, impulse control disorders have also been associated with subthalamic nucleus deep brain stimulation. Here we present a systematic overview of literature published between 2000 and January 2013 reporting impulse control disorders in Parkinson's disease. We consider prevalence rates and discuss the functional neuroanatomy, the impact of dopamine-serotonin interactions, and the cognitive symptomatology associated with impulse control disorders in Parkinson's disease. Finally, perspectives for future research and management of impulse control disorders in Parkinson's disease are discussed. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",irrelevant,0.031180617,Irrelevant,D
